person_id,role_type,contest,first_name,last_name,full_name,nickname,abbreviation,coalition,state,area,membership_type,start_date,end_date,is_substitute,is_titular,date_birth,gender,dead_or_alive,last_degree_of_studies,profession_1,profession_2,profession_3,profession_4,profession_5,profession_6,Website,URL_FB_page,URL_FB_profile,URL_IG,URL_TW,URL_others,URL_photo,source_of_truth
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,Teresa Guadalupe,Vale Castilla,Teresa Guadalupe Vale Castilla,,MC,,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,,"Periodista, antropológa, empresaria, neuropsicológa",Communication and journalism,Sociology and Anthropology,Psychology,Business administration and management,,https://www.terevale.mx,https://www.facebook.com/TereValeMX,,https://www.instagram.com/terevalemx,https://www.twitter.com/TereValeMX,https://www.youtube.com/c/TereVale,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/170408184_2897848787128629_85238849524705740_n.jpg?_nc_cat=108&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeGKRsl2OVyxurT3JAB91po1jaYeP_lN5oiNph4_-U3miIg0PNLDKxRkl3vM09i54ft7sXg2DSwTeS0e3lux7XRF&_nc_ohc=jmd77Tz5ockAX_h0WkY&_nc_ht=scontent-qro1-1.xx&oh=00_AT-KXyrU0cNN1IrxHGx95l7zwZDiOKPCVl2VMBaaPVK0PQ&oe=62630590,
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,Víctor Hugo,Romo De Vivar Guerra,Víctor Hugo Romo De Vivar Guerra,,Morena,Juntos hacemos historia Ciudad de México,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Master Degree,"economía, diputado",Economy,Public administration,,,,https://www.romocontigo.mx,https://www.facebook.com/vromog,,https://www.instagram.com/romocontigo,https://www.twitter.com/vromog,https://miguelhidalgo.gob.mx/transparencia2019/uploads/cv/11e34e0f7e4b0ead6fcad0e7b8d276a3.pdf,https://scontent.fmex1-2.fna.fbcdn.net/v/t1.6435-9/98076008_3052124958167512_1878148735653904384_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeEVrCQXPsqvlsMNsEwO5L-Z-Ah30zJfBHL4CHfTMl8EcswHaYPnLSXElKLnoip7_dhklv4X4VR-sAycw82jhD4J&_nc_ohc=I_tw4_wPLKcAX_Heb2s&_nc_ht=scontent.fmex1-2.fna&oh=00_AT-erNbDic-FX_2Rjr1v3fUXN5zsh7Dfyif2fbX1YIr9Cw&oe=6261D134,
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,José Manuel,Nava Castro,José Manuel Nava Castro,,FxM,,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,"abogado, servidor público",Law,Public administration,,,,,https://www.facebook.com/Jos%C3%A9-Manuel-Nava-100251625408088,,https://www.instagram.com/josemanuelnava_,https://www.twitter.com/josemanuelnavac,https://www.linkedin.com/in/jose-manuel-nava-castro-340063197,https://scontent.fmex1-4.fna.fbcdn.net/v/t1.6435-9/200187080_165514625548454_7602807357912369172_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeE3ne_lJZVvKvrqVQrqaidkt9Vs960iZOi31Wz3rSJk6EsY9KEXu1T4ypeUOn8-VhZVxuv7PXfBSwauQTKjqJqS&_nc_ohc=HzIZkbj6s_wAX87s7S3&_nc_ht=scontent.fmex1-4.fna&oh=00_AT_LaLh_KrxufB1sMLuDdE1rKA3HVMiUqpe_U8eU_zrEpA&oe=6261E1E2,
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,Chinthya Fernanda,Acosta Sánchez,Chinthya Fernanda Acosta Sánchez,,RSP,,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1990-07-29,F,Vivo,High School,activista,Social work and care,,,,,https://www.cinthyaacosta.org,,,https://www.instagram.com/cinthyaacosta_s,,,,
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,María Enriqueta,Portillo Hidalgo y Costilla,María Enriqueta Portillo Hidalgo y Costilla,,PELG,,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,Bachelor´s Degree,Gerente,Business administration and management,,,,,,,,,https://www.twitter.com/EnriquetaPorti,https://www.linkedin.com/in/enriqueta-portillo-hidalgo-y-costilla-735525192,https://pbs.twimg.com/profile_images/1395164360134307844/8JYzrQpl_400x400.jpg,
,executiveCouncil,Alcaldia de MIGUEL HIDALGO,Eduardo,Contró Rodríguez,Eduardo Contró Rodríguez,,C1,,Ciudad de México,Miguel Hidalgo,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Master Degree,"economista, servidor público",Economy,Public administration,,,,,https://www.facebook.com/eduardocontro,,https://www.instagram.com/eduardocontro,https://www.twitter.com/EduardoContro,contacto@eduardocontro.com,https://scontent.fmex1-1.fna.fbcdn.net/v/t39.30808-6/240934885_385467943310777_7949043568618525127_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeF4-r2Fi_KeYfPti2QA_JK3r5XmRtMJmFmvleZG0wmYWeRDv8V-6TPBMDyTQAudU7b1YVm84Npcp7V25F9dvhZ9&_nc_ohc=3F3hX7GFjJUAX92KVt0&_nc_ht=scontent.fmex1-1.fna&oh=00_AT-pHWNDGLIOSlp2mlZ0VpVAOQRLqOMzcbs7e0loW4uoMw&oe=62418B9D,
,executiveCouncil,Alcaldia de MILPA ALTA,Jorge,Alvarado Galicia,Jorge Alvarado Galicia,,PAN,Va por México,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1964-05-11,M,Vivo,Master Degree,,,Public administration,Political Sciences,,,,https://www.facebook.com/JorgeCDMX,,,https://www.twitter.com/Jorge_AlvaradoM,jorgealvarado2021milpaalta@gmail.com,https://scontent.fmex1-1.fna.fbcdn.net/v/t1.6435-9/180303369_4041260345930089_824217191135396101_n.jpg?_nc_cat=102&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFp845ae6GaRAMQ6tO0_tnjYEhlPpo3D0VgSGU-mjcPRZeLjf0w8r9TV36-zfI8sx7qNUjyPK_KVsO0sqMFg6sO&_nc_ohc=H2d79LuH5Y0AX-Bs9kE&_nc_ht=scontent.fmex1-1.fna&oh=00_AT_XEdZpTAEdDWFPnUvahkq_ZMdFA1x3vuE4XlWk5A2qxQ&oe=62625088,
,executiveCouncil,Alcaldia de MILPA ALTA,Arturo,Ferrer Retana,Arturo Ferrer Retana,,PESol,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1993-07-19,M,Vivo,Bachelor´s Degree,"ingeniero mecánico, secretario, dirigente, luchador social","Industrial, mechanical and metallurgical engineering",Public administration,,,,http://www.arturoferrer.mx,https://www.facebook.com/ArturoFerrerR,,https://www.instagram.com/arturoferrerretana,https://www.twitter.com/retana_ferrer,,https://scontent.fmex1-1.fna.fbcdn.net/v/t1.6435-9/196750422_451143876332395_6414672135243809311_n.jpg?_nc_cat=105&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFJq2MwtqWcb1DGKjPOaeANw88V8SwlcEfDzxXxLCVwRxQeDwINTtYWGsw3-HzC6O5ucxStZnArAmDJw7mQ2nz6&_nc_ohc=4AwnJgIllccAX8seC-b&_nc_ht=scontent.fmex1-1.fna&oh=00_AT8lb6Qw9rJexAIG_QmbCJy0Fnz9sxRwxqeEpuzs0yaMEw&oe=625FCCA8,
,executiveCouncil,Alcaldia de MILPA ALTA,Efrén,Ibañez Olvera,Efrén Ibañez Olvera,,MC,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Bachelor´s Degree,contador,Accounting and auditing,,,,,,,,https://www.instagram.com/ibanezolvera,https://www.twitter.com/efreniolv,,,
,executiveCouncil,Alcaldia de MILPA ALTA,Karla Valeria,Gómez Blancas,Karla Valeria Gómez Blancas,,PVEM,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,Bachelor´s Degree,"medicina veterinaria, diputada, asesora, docente, administración públic",Veterinary,Political Sciences,Public administration,"Teacher training in basic education, primary level",,https://www.karlavaleriagomezblancas.com,https://www.facebook.com/karlagomezblancas,,https://www.instagram.com/karlagomezblancas,https://www.twitter.com/karlavaleriagv,karlavaleriapvem@gmail.com,https://scontent.fmex1-4.fna.fbcdn.net/v/t39.30808-6/268429762_271002521760502_4669517280606951253_n.jpg?_nc_cat=104&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeF6hoyu8EA_82dpfzc62CQISCZkkA0SFlZIJmSQDRIWVtwhHV3meup_cdCwrFtc5lZmVFwghb-7IEr-kbR_HA9d&_nc_ohc=vRmQXhfR6gcAX8jbekl&_nc_ht=scontent.fmex1-4.fna&oh=00_AT9xDLbZYjeDgxVcdIOzIUbPMeDMUvPRwqiVrub2lekcPQ&oe=62411285,
206,executiveCouncil,Alcaldia de MILPA ALTA,Judith,Vanegas Tapia,Judith Vanegas Tapia,,Morena,Juntos hacemos historia Ciudad de México,Ciudad de México,Milpa Alta,officeholder,2021-10-01,2024-09-30,No,TRUE,,F,Vivo,Bachelor´s Degree,"medico general, directora isste",Medicine,Public administration,,,,,https://www.facebook.com/judithvanegast,,https://www.instagram.com/judithvanegast,https://www.twitter.com/judithvanegast,judithvanegast@gmail.com,https://scontent.fmex1-4.fna.fbcdn.net/v/t39.30808-6/244220919_521442242580839_3387701112974480102_n.jpg?_nc_cat=106&ccb=1-7&_nc_sid=09cbfe&_nc_eui2=AeHOr4ELwCX8U9JOpMJZCf2l4an0AncC0OjhqfQCdwLQ6JhivOxKK3uvxzr9jDAJNxzojWAJJqKb_i5AO3i45eiT&_nc_ohc=vQBLIxnlUesAX_Vma6X&tn=Yr5s5w2HQqdq0fb3&_nc_ht=scontent.fmex1-4.fna&oh=00_AT8unZOP9bbJGxN-rI0IJjLMLTK36FrgBZDtCa4lYYOseA&oe=62E7CC7F,
,executiveCouncil,Alcaldia de MILPA ALTA,Andy,Padilla Roldán,Andy Padilla Roldán,,FxM,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,,,,,,,,https://www.facebook.com/AndyPadillaR,,,,,https://scontent.fmex1-1.fna.fbcdn.net/v/t1.6435-9/168726925_113675794153912_2740127191809669760_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeEGLAF3o8F4dPI2fO5RVQiG2597LYxojTXbn3stjGiNNVtIOTnOW3w_dxtxQg79n2YqZ_qPucZ5LKKVAdhgY55C&_nc_ohc=j2IMetKa0z0AX_taxat&_nc_ht=scontent.fmex1-1.fna&oh=00_AT-1HXVNDj1_AUj0zxinuag8XpOOKtlgtVh91gtd70kErQ&oe=6261F87C,
,executiveCouncil,Alcaldia de MILPA ALTA,Abdul,Ramos Ramos,Abdul Ramos Ramos,,RSP,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,,,,,,,,https://www.facebook.com/Abdul-Ramos-316348022432639,,,,,https://scontent.fmex1-2.fna.fbcdn.net/v/t1.6435-9/169061646_897403477660421_6336449492338243220_n.jpg?_nc_cat=100&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFdvQqXajulaThOiKepzannTfZvzA8rRGZN9m_MDytEZnzBFkUtkEDJA_qmRWPybxIN8_yKwA0wW5h1E42zhIwr&_nc_ohc=Tsy_fXb0MJoAX9VNnVL&_nc_ht=scontent.fmex1-2.fna&oh=00_AT-Hfyl6ADb5kDJS1iNY2cgzpbHgg_MbKlria77r8C-0qQ&oe=62612D20,
,executiveCouncil,Alcaldia de MILPA ALTA,Noemi,Galicia Meza,Noemi Galicia Meza,,PELG,,Ciudad de México,Milpa Alta,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,,,,,,,,,,,,,,,
,executiveCouncil,Alcaldia de TLÁHUAC,Luis Alberto,Hernández Tovar,Luis Alberto Hernández Tovar,,PESol,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Bachelor´s Degree,"sociologo, servidor público",Sociology and Anthropology,Secretariat and administrative assistance,,,,,,,,https://www.twitter.com/tovarluisaldf,,https://pbs.twimg.com/profile_images/1462240587885596674/LSivt2i9_400x400.jpg,
,executiveCouncil,Alcaldia de TLÁHUAC,Lesvia,Gómez Melgar,Lesvia Gómez Melgar,,MC,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,High School,"contadora pública, servidora pública",Accounting and auditing,Secretariat and administrative assistance,,,,,https://www.facebook.com/LesGMTlahuac,,https://www.instagram.com/lesvigomezmelgar,https://www.twitter.com/lesvi2000,,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/181286638_168048938574868_2768405926788274683_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeGreRu1S5snWQWSv0CnKioXp4jKHNtsUCyniMoc22xQLN0fNLyQo5qet0-9zGKy-kR4wau3avExBtvYifAZ2SK-&_nc_ohc=JeCZCVgZuvYAX_QvN-P&_nc_oc=AQnwRIyQfXHi81vr1UowDPP9jelwCyskHeBhOwIgCv2MIWwOHp0H1ebLk3CQwq_6FFc&_nc_ht=scontent-qro1-1.xx&oh=00_AT_-WqGo4oXmw0zWboZIkHktdyXH_nV0mU1My9z5F-I2sQ&oe=625FC0F6,
,executiveCouncil,Alcaldia de TLÁHUAC,Alejandro,Durán Raña,Alejandro Durán Raña,el Gallego,PRD,"Candidatura común PRI, PRD",Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,empresario,Business administration and management,,,,,https://www.decorazonconduran.com,https://www.facebook.com/DuranPorTlahuac,,https://www.instagram.com/alejandroduranxtlahuac,https://www.twitter.com/DuranPorTlahuac,"https://www.youtube.com/channel/UCFTd0vkPYOvMhGS20f4xKYQ,https://www.twitter.com/accionesduran",https://scontent.fmex1-1.fna.fbcdn.net/v/t1.6435-9/162398837_122408869898820_8498671924895255894_n.jpg?_nc_cat=103&ccb=1-5&_nc_sid=174925&_nc_eui2=AeFhsj5VSTxI61qs1nNH0MES3ndbUZhhy8_ed1tRmGHLz_oOnzTH9dZU1PT-1FfYoalQoG6The48X6JWq7zMQDPB&_nc_ohc=1aZ90VouIFIAX-IxEzb&_nc_ht=scontent.fmex1-1.fna&oh=00_AT_N5gEUM18llAtowvGMUOx7cNc0RkIMM_2SuG1hsAvUCQ&oe=6262089B,
,executiveCouncil,Alcaldia de TLÁHUAC,Nidia,Martínez Molotla,Nidia Martínez Molotla,,PAN,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,Master Degree,docente para la educación básica,"Teacher training in basic education, preschool level",,,,,,https://www.facebook.com/Nidia-Mart%C3%ADnez-Molotla-105675278267196,,https://www.instagram.com/nidiamtzmolotla,https://www.twitter.com/NMolotla,,https://scontent.fmex1-2.fna.fbcdn.net/v/t1.6435-9/180657010_129954242505966_6231834333423487831_n.png?_nc_cat=111&ccb=1-5&_nc_sid=174925&_nc_eui2=AeEi44CxbRr6bQo9NUrY8KPvO7d1zTfzmeo7t3XNN_OZ6sP9k_544F_EB-M1ThbmUap-_K4kpQ6ubbUD3lh8h2gE&_nc_ohc=7jVFrVwm5fEAX_QFg_O&_nc_ht=scontent.fmex1-2.fna&oh=00_AT_9U6SWPPvxsEK0aZVzSTxND3JbxqN3T-y5AWWOCsS79w&oe=626301C9,
,executiveCouncil,Alcaldia de TLÁHUAC,Hector,Jiménez Garces,Hector Jiménez Garces,,PVEM,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Bachelor´s Degree,"contador,administrador público",Accounting and auditing,Public administration,,,,http://www.hjimenezgarces.com,https://www.facebook.com/hectorjimenezgs,,https://www.instagram.com/hectorjimenezgs,https://www.twitter.com/hectorjimenezgs,contacto@hjimenezgarces.com,https://scontent.fmex1-4.fna.fbcdn.net/v/t1.6435-9/183100343_930644464165634_4086788745802812491_n.png?_nc_cat=101&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeGTuiEA4lg8igeBOJhwqEO5tBvLm38jTNG0G8ubfyNM0QYG73AEcyt4jB7FXAClZ10hOzmBY9SyHP51VXebh7C6&_nc_ohc=qm3kJJAfHFMAX-yj04R&_nc_ht=scontent.fmex1-4.fna&oh=00_AT8_PzCU-8teQtv_SUWHME1kufPyDtc8V8pYkhKtLNTFwg&oe=62628053,
215,executiveCouncil,Alcaldia de TLÁHUAC,Araceli Berenice,Hernández Calderón,Araceli Berenice Hernández Calderón,Bere,Morena,Juntos hacemos historia Ciudad de México,Ciudad de México,Tláhuac,officeholder,2021-10-01,2024-09-30,No,TRUE,,F,Vivo,Bachelor´s Degree,"abogada, diputada suplente",Law,Political Sciences,,,,https://www.berehernandez.mx,https://www.facebook.com/berenicehcalderon,,https://www.instagram.com/bereheca,https://www.twitter.com/bereheca,"https://www.youtube.com/channel/UCL83GocafuC7jttIbuavj3g,https://www.tiktok.com/@bereheca",https://scontent.fmex1-4.fna.fbcdn.net/v/t39.30808-6/258767325_4819054244804906_6511331987364538220_n.jpg?_nc_cat=108&ccb=1-7&_nc_sid=174925&_nc_eui2=AeGW38e9I5zzkBzB1_iFBi4GzoprfaY3FIzOimt9pjcUjGQb6klWvBRmX4cVZOTq-6jL8R9S7jERlUuGUahcXmdg&_nc_ohc=M9XgHI4K3xAAX81Ro2r&_nc_ht=scontent.fmex1-4.fna&oh=00_AT99zWwWoJdjsTrPZzti03z7f67xSBDzLiKpknk-cx8RHg&oe=62E8718C,
,executiveCouncil,Alcaldia de TLÁHUAC,Saúl,Cruz Rodríguez,Saúl Cruz Rodríguez,,FxM,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,politico,Political Sciences,,,,,,,,https://www.instagram.com/saul.cruz77,https://www.twitter.com/saulcruz77,,https://pbs.twimg.com/profile_images/1400526679513120768/oqIH3ede_400x400.jpg,
,executiveCouncil,Alcaldia de TLÁHUAC,Alejandro,Moran Rojo,Alejandro Moran Rojo “Alex Moran”,Alex Moran,RSP,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Associate Degree,"tecnico en urgencias medicas, trabajo social, administrador público",Nursing and care,Social work and care,Public administration,,,,https://www.facebook.com/AlexMoranMX,https://www.facebook.com/alejandro.moranrojo,https://www.instagram.com/alexmoranmx,,,https://scontent.fmex1-1.fna.fbcdn.net/v/t1.6435-9/209593633_4094363683932513_4674280516362149210_n.jpg?_nc_cat=106&ccb=1-5&_nc_sid=09cbfe&_nc_eui2=AeEcUM5W4pNbxA0csmV6-Ayybjki29KpCAluOSLb0qkICVu8ijZpELOUxNe4WUYPCZGXTs8bPyLTXnpo90XkgD7j&_nc_ohc=gI1HGZKuxu8AX8fMmhX&tn=LOUdjX976aVLlJn4&_nc_ht=scontent.fmex1-1.fna&oh=00_AT9VY4ClWf9lBUXrOSuPXnFjzHEocfpqHfIpl1x8whBU0w&oe=626264B1,
,executiveCouncil,Alcaldia de TLÁHUAC,Alicia,Jiménez Padilla,Alicia Jiménez Padilla,,PELG,,Ciudad de México,Tláhuac,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,,,,,,,,,,,,,,,
,executiveCouncil,Alcaldia de TLALPAN,Alfredo Alejandro,Escamilla Alfaro,Alfredo Alejandro Escamilla Alfaro,,PESol,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,,,,,,,,,,,,,,
,executiveCouncil,Alcaldia de TLALPAN,Hector Hugo,Hernandez Rodriguez,Héctor Hugo Hernández Rodríguez,,MC,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1974-02-27,M,Vivo,Bachelor´s Degree,"administrador, diputado, jefe delegacional,",Public administration,Political Sciences,,,,,https://www.facebook.com/HectorHugoHdez,,https://www.instagram.com/hectorhugohdez,https://www.twitter.com/HectorHugoHdez,https://www.youtube.com/channel/UCfBTnkGcfQLFCi0pHYPNgug,http://sil.gobernacion.gob.mx/Archivos/Fotos/6911096.jpg,
,executiveCouncil,Alcaldia de TLALPAN,Paula Alejandra,Pérez Córdova,Paula Alejandra Pérez Córdova,,PVEM,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,,funcionaria pública,Political Sciences,,,,,,https://www.facebook.com/PaulaPorTlalpan,https://www.facebook.com/paulaalejandra.perezcordova.3,https://www.instagram.com/paulaportlalpan,,paulaportlalpan@gmail.com,,
,executiveCouncil,Alcaldia de TLALPAN,Gabriela,Osorio Hernandez,Gabriela Osorio Hernández,,Morena,Juntos hacemos historia Ciudad de México,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,1990-09-29,F,Vivo,Bachelor´s Degree,"politóloga, funcionaria pública, activista cultural, voluntaria",Political Sciences,Public administration,Social work and care,"Humanities, multidisciplinary or general programs",,https://www.gabyosoriotlalpan.com,https://www.facebook.com/GabyOsorioMorena,,https://www.instagram.com/gabyosoriohdez,https://www.twitter.com/Gabyosoriohdz,https://www.youtube.com/channel/UCHxkM0sEoI7Rj0kFIACjhgg/featured,,
,executiveCouncil,Alcaldia de TLALPAN,Adolfo,Llubere Sevilla,Adolfo Llubere Sevilla,,FxM,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,Master Degree,"politólogo, voluntario, activista,administrador público",Political Sciences,Social work and care,Public administration,,,,https://www.facebook.com/LlubereporTlalpan,https://www.facebook.com/adolfo.lluberesevilla,https://www.instagram.com/llubereportlalpan,https://www.twitter.com/Lluberextlalpan,,,
,executiveCouncil,Alcaldia de TLALPAN,Juan José,Rodríguez Pérez,Juan José Rodríguez Pérez,,RSP,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,M,Vivo,,"inspector vehicular, trabajo social,","Motor vehicle, ship and aircraft engineering",Social work and care,,,,,https://www.facebook.com/Juan-Jos%C3%A9-Rodr%C3%ADguez-P%C3%A9rez-106734184860189,,,,,,
,executiveCouncil,Alcaldia de TLALPAN,Susana,Granada Armas,Susana Granada Armas,,PELG,,Ciudad de México,Tlalpan,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,PhD Degree,"contadora, abogada, docente",Accounting and auditing,Law,Teacher training in higher education,,,,,https://www.facebook.com/susana.barbara.9,,,,https://scontent.fmex1-2.fna.fbcdn.net/v/t1.18169-9/12043023_923638264394172_6098775497884373275_n.jpg?_nc_cat=111&ccb=1-5&_nc_sid=174925&_nc_eui2=AeGNh6w-xS3oal7upYGTrX1VB5Sd0289eE0HlJ3Tbz14TX0sT8wKQIzdXQ4EURKzkVF2VSnoz9ljhpTJuB31f7WM&_nc_ohc=dFch93bGa5EAX8Co_3S&tn=LOUdjX976aVLlJn4&_nc_ht=scontent.fmex1-2.fna&oh=00_AT9rDRbNw0wErXkts_M8z8NwX46Wh5n0SyQXVxD0h4se9Q&oe=62626E9B,
226,executiveCouncil,Alcaldia de TLALPAN,Alfa Eliana,González Magallanes,Alfa Eliana González Magallanes,,PRD,Va por México,Ciudad de México,Tlalpan,officeholder,2021-10-01,2024-09-30,No,TRUE,1981-05-28,F,Vivo,Bachelor´s Degree,,,Public administration,Political Sciences,,,,https://www.facebook.com/AlfaGonzalezMagallanes,,https://www.instagram.com/alfa_gonzalez1,https://www.twitter.com/alfagonzalezm,alfagonzalezmagallanes@gmail.com,http://sil.gobernacion.gob.mx/Archivos/Fotos/9216775.jpg,
,executiveCouncil,Alcaldia de VENUSTIANO CARRANZA,Liliana,Torres Cortés,Liliana Torres Cortés,,PESol,,Ciudad de México,Venustiano Carranza,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,,,,,,,,,,,,,,,
,executiveCouncil,Alcaldia de VENUSTIANO CARRANZA,Zurishaday,Hernández Hernández,Zurishaday Hernández Hernández,Zuri Hernández,MC,,Ciudad de México,Venustiano Carranza,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,High School,"abogada, influencer",Law,Audio-visual techniques and media production,,,,,https://www.facebook.com/zurishadayh,https://www.facebook.com/zurii.hernandez.1,https://www.instagram.com/zuri_shaday1,https://www.twitter.com/zuriishaday,https://www.tiktok.com/@zurishaday,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/168972106_1802713833236144_7408294667878168570_n.jpg?_nc_cat=109&ccb=1-5&_nc_sid=174925&_nc_eui2=AeF3XEzxJl2vxuYDFrzZeOGbQv8e97d80KBC_x73t3zQoCVzColK1OhFPV9iQTE1hYb95S3eRaRIHWZSP8eIhFB-&_nc_ohc=G_H1sQMvlXIAX-ydhZn&_nc_ht=scontent-qro1-1.xx&oh=00_AT-sFUbwDgNmPL6sIYdYHxyAE9mRcGTXl5-sJ3VzqAh-lA&oe=6262E47F,
,executiveCouncil,Alcaldia de VENUSTIANO CARRANZA,María Angélica,Dueñas Pérez,María Angélica Dueñas Pérez,,PVEM,,Ciudad de México,Venustiano Carranza,campaigning_politician,2021-04-04,2021-06-02,No,TRUE,,F,Vivo,Bachelor´s Degree,brigadista,Social work and care,,,,,,https://www.facebook.com/Angelica-Due%C3%B1as-105693574958049,https://www.facebook.com/angelica.duenas.94651,https://www.instagram.com/angelica_duenas_,,angelicaduenasperez@gmail.com,https://scontent-qro1-1.xx.fbcdn.net/v/t1.6435-9/183390460_124741546386585_6406171069502529245_n.jpg?_nc_cat=107&ccb=1-5&_nc_sid=174925&_nc_eui2=AeGdF6nmU-MMX7sM-iu05MFsmX95IxoymNuZf3kjGjKY20pcE8h9zs8LI_Aq64pjuGNm3_Lo-C1fnhyRv73ZsYlJ&_nc_ohc=P9bU6z2h7cgAX9mLqLX&_nc_ht=scontent-qro1-1.xx&oh=00_AT_jTF-wSgfwkpDpBL7lTwXKuky4C-3b0buV2-lWqEIHLw&oe=62602E58,
230,executiveCouncil,Alcaldia de VENUSTIANO CARRANZA,Evelyn,Parra Álvarez,Evelyn Parra Álvarez,,Morena,Juntos hacemos historia Ciudad de México,Ciudad de México,Venustiano Carranza,officeholder,2021-10-01,2024-09-30,No,TRUE,1978-10-19,F,Vivo,Bachelor´s Degree,"abogada, diputada,servidora pública",Law,Political Sciences,,,,,https://www.facebook.com/EvelynParraAlvarez,,https://www.instagram.com/evelyn.parra_,https://www.twitter.com/evelyn111parra,,http://sil.gobernacion.gob.mx/Archivos/Fotos/9219079.jpg,
